id	Refractivity	Maximal projection area	Maximal projection radius	Length perpendicular to the max area	Minimal projection area	Minimal projection radius	Length perpendicular to the min area	molecular	molecular	molecular	molecular	molecular	molecular	molecular	molecular	molecular	molecular	Van der Waals surface area (3D)	Van der Waals surface area (3D)	Van der Waals surface area (3D)	Van der Waals surface area (3D)	Van der Waals surface area (3D)	ASA	ASA	ASA	ASA	ASA	ASA+	ASA+	ASA+	ASA+	ASA+	ASA-	ASA-	ASA-	ASA-	ASA-	ASA_H	ASA_H	ASA_H	ASA_H	ASA_H	ASA_P	ASA_P	ASA_P	ASA_P	ASA_P	acceptorcount	acceptorcount	acceptorcount	acceptorcount	acceptorcount	donorcount	donorcount	donorcount	donorcount	donorcount	Polar surface area	Polar surface area	Polar surface area	Polar surface area	Polar surface area
28	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	34.14	34.14	34.14	34.14	34.14
29	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	34.14	34.14	34.14	34.14	34.14
30	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	58.52	64.16	62.96	62.96	62.96
31	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	34.14	34.14	34.14	34.14	34.14
32	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	34.14	34.14	34.14	34.14	34.14
33	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	58.52	64.16	62.96	62.96	62.96
34	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	34.14	34.14	34.14	34.14	34.14
35	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	34.14	34.14	34.14	34.14	34.14
36	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	58.52	64.16	62.96	62.96	62.96
37	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	34.14	34.14	34.14	34.14	34.14
38	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	acceptorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	donorcount:FAILED	34.14	34.14	34.14	34.14	34.14
39	refractivity:FAILED	maximalprojectionarea:FAILED	maximalprojectionradius:FAILED	maximalprojectionsize:FAILED	minimalprojectionarea:FAILED	minimalprojectionradius:FAILED	minimalprojectionsize:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	avgpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	molpol:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	vdwsa:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	molecularsurfacearea:FAILED	
